species,Genus,Family,Order,Beak.Length_Culmen,Beak.Length_Nares,Beak.Width,Beak.Depth,Tarsus.Length,Wing.Length,Kipps.Distance,Secondary1,Hand-Wing.Index,Tail.Length,Mass,Mass.Source,Inference,Habitat,Trophic.Level,Trophic.Niche,Primary.Lifestyle
Accipiter_albogularis,Accipiter,Accipitridae,Accipitriformes,27.7,17.8,10.6,14.7,62,235.2,81.8,159.5,33.9,169,248.8,Dunning,NO,Forest,Carnivore,Vertivore,Insessorial
Accipiter_badius,Accipiter,Accipitridae,Accipitriformes,20.6,12.1,8.8,11.6,43,186.7,62.5,127.4,32.9,140.6,131.2,Dunning,NO,Shrubland,Carnivore,Vertivore,Insessorial
Accipiter_bicolor,Accipiter,Accipitridae,Accipitriformes,25,13.7,8.6,12.7,58.1,229.6,56.6,174.8,24.6,186.3,287.5,Dunning,NO,Woodland,Carnivore,Vertivore,Generalist
Accipiter_brachyurus,Accipiter,Accipitridae,Accipitriformes,22.5,14,8.9,11.9,61.2,202.2,64.1,138.1,31.7,140.8,142,Dunning,NO,Forest,Carnivore,Vertivore,Insessorial
Accipiter_brevipes,Accipiter,Accipitridae,Accipitriformes,21.1,12.1,8.7,11.1,46.4,217.6,87.8,129.9,40.2,153.5,186.5,Dunning,NO,Forest,Carnivore,Vertivore,Generalist
Accipiter_butleri,Accipiter,Accipitridae,Accipitriformes,20,11.9,6.6,12,48.7,166,42.9,123.1,25.8,127,122,Updated_literature,NO,Forest,Carnivore,Vertivore,Insessorial
Accipiter_castanilius,Accipiter,Accipitridae,Accipitriformes,20.5,11.5,8.3,10.9,52.6,163.5,38.9,123.1,24,135.4,157.5,Dunning,NO,Forest,Carnivore,Vertivore,Insessorial
Accipiter_cirrocephalus,Accipiter,Accipitridae,Accipitriformes,19.2,10.6,7.7,9.6,60.3,213,81.3,133.7,37.8,155.4,165.7,Dunning,NO,Forest,Carnivore,Vertivore,Generalist
Accipiter_collaris,Accipiter,Accipitridae,Accipitriformes,20,11.2,8.6,11,43.6,165.9,49.5,115.2,30,125,97.8,Updated_literature,NO,Forest,Carnivore,Vertivore,Insessorial
Accipiter_cooperii,Accipiter,Accipitridae,Accipitriformes,25.4,13.9,8.6,13.2,62,241.2,77.8,163.5,32.3,188.4,429.7,Dunning,NO,Woodland,Carnivore,Vertivore,Aerial
Accipiter_erythrauchen,Accipiter,Accipitridae,Accipitriformes,21.1,12.2,8.6,11.2,59.5,191.2,58.9,132.4,30.8,154.8,156,Dunning,NO,Forest,Carnivore,Vertivore,Generalist
Accipiter_erythropus,Accipiter,Accipitridae,Accipitriformes,17.6,9.7,7.2,9.6,43,154.6,40.9,110.1,27.1,104.4,111.2,Dunning,NO,Forest,Carnivore,Vertivore,Insessorial
Accipiter_fasciatus,Accipiter,Accipitridae,Accipitriformes,28.5,19.1,11.2,15.2,71.9,269.9,103.6,167.3,38.3,206,358.7,Dunning,NO,Forest,Carnivore,Vertivore,Generalist
Accipiter_francesiae,Accipiter,Accipitridae,Accipitriformes,20.2,13.1,8.7,10.7,48.1,155.8,43.2,112.8,27.8,127.5,136.8,Dunning,NO,Forest,Carnivore,Invertivore,Insessorial
Accipiter_gentilis,Accipiter,Accipitridae,Accipitriformes,33.7,19.6,11.6,18,67.3,337.6,122.6,215,36.3,241.1,866,Dunning,NO,Forest,Carnivore,Vertivore,Generalist
Accipiter_griseiceps,Accipiter,Accipitridae,Accipitriformes,24.1,14.6,8.8,12.4,52,187.2,50,137.3,26.8,141.2,251.8,Dunning,NO,Forest,Carnivore,Vertivore,Insessorial
Accipiter_gularis,Accipiter,Accipitridae,Accipitriformes,23.3,9.5,6.6,9.1,43.6,162.6,54.2,109,33.2,106.4,120.7,Dunning,NO,Forest,Carnivore,Vertivore,Insessorial
Accipiter_gundlachi,Accipiter,Accipitridae,Accipitriformes,26,15.2,8.3,16.3,71.3,228,61.8,166.2,27.1,223,675,Dunning,NO,Forest,Carnivore,Vertivore,Aerial
Accipiter_haplochrous,Accipiter,Accipitridae,Accipitriformes,23.7,13.9,9.6,13.2,58.9,227.8,74.5,153.2,32.7,155,198.4,Dunning,NO,Forest,Carnivore,Vertivore,Insessorial
Accipiter_henicogrammus,Accipiter,Accipitridae,Accipitriformes,27.9,15.9,10,13.6,65.1,230.2,72,160.5,31.1,190,358.7,Inferred,YES,Forest,Carnivore,Vertivore,Insessorial
Accipiter_henstii,Accipiter,Accipitridae,Accipitriformes,32.6,18.1,11.8,17.2,75,290.5,78,212.5,27,245,1050,Dunning,NO,Forest,Carnivore,Vertivore,Insessorial
Accipiter_hiogaster,Accipiter,Accipitridae,Accipitriformes,26,15.9,9.4,13.9,51.1,197.2,60.8,136.5,30.8,136.5,326.1,DataFromSplit,NO,Forest,Carnivore,Vertivore,Insessorial
Accipiter_imitator,Accipiter,Accipitridae,Accipitriformes,26.4,16.8,9.1,12.2,49.6,200,60,140,30,161,222.5,Dunning,NO,Forest,Carnivore,Vertivore,Insessorial
Accipiter_luteoschistaceus,Accipiter,Accipitridae,Accipitriformes,26.4,16.8,7.8,11.9,51.5,188,57,131,30.3,146,214,Dunning,YES,Forest,Carnivore,Vertivore,Insessorial
Accipiter_madagascariensis,Accipiter,Accipitridae,Accipitriformes,19.7,10.7,7.4,9.4,58,190.8,54.5,136.2,28.7,149.5,180.4,Dunning,NO,Forest,Carnivore,Vertivore,Insessorial
Accipiter_melanochlamys,Accipiter,Accipitridae,Accipitriformes,25.9,15.6,11,13.9,62.7,228.6,75,156.2,32.4,164.8,265,Dunning,NO,Forest,Carnivore,Vertivore,Generalist
Accipiter_melanoleucus,Accipiter,Accipitridae,Accipitriformes,29.6,18,10.3,16.3,75.8,302.8,107.2,200.8,35,219.4,699,Dunning,NO,Forest,Carnivore,Vertivore,Generalist
Accipiter_meyerianus,Accipiter,Accipitridae,Accipitriformes,35,20.6,12.6,18.6,75.4,309.5,102,207.5,33,200,763.5,Dunning,NO,Forest,Carnivore,Vertivore,Generalist
Accipiter_minullus,Accipiter,Accipitridae,Accipitriformes,16.5,9.2,6.6,8.8,41.3,150.4,44.6,105.8,29.6,105.2,87.4,Dunning,NO,Forest,Carnivore,Vertivore,Generalist
Accipiter_nanus,Accipiter,Accipitridae,Accipitriformes,17.6,10.6,7.6,10.1,46.6,152.4,44.9,107.5,29.5,109,117,Inferred,YES,Forest,Carnivore,Invertivore,Insessorial
Accipiter_nisus,Accipiter,Accipitridae,Accipitriformes,19.6,11.4,8.4,10,53.6,207.4,74.2,134.3,35.5,155.5,220.8,Dunning,NO,Forest,Carnivore,Vertivore,Insessorial
Accipiter_novaehollandiae,Accipiter,Accipitridae,Accipitriformes,31.6,19.9,11.5,16.5,69,261.9,76,188.3,28.9,183.6,326.1,Dunning,NO,Forest,Carnivore,Vertivore,Insessorial
Accipiter_ovampensis,Accipiter,Accipitridae,Accipitriformes,20.5,11.2,7.5,10.3,49.4,222.4,86.2,138.5,38.4,155,195,Dunning,NO,Shrubland,Carnivore,Vertivore,Aerial
Accipiter_poliocephalus,Accipiter,Accipitridae,Accipitriformes,25,15.4,10.1,13.7,60.3,210.5,67.8,142.8,32.1,157.2,214.8,Dunning,NO,Forest,Carnivore,Vertivore,Insessorial
Accipiter_poliogaster,Accipiter,Accipitridae,Accipitriformes,27.7,14.9,8,13.2,52.4,240.4,72.6,172.2,29.6,174.6,315,Updated_literature,NO,Forest,Carnivore,Vertivore,Insessorial
Accipiter_princeps,Accipiter,Accipitridae,Accipitriformes,33.6,22.2,13.8,17.8,68,266.3,77.8,188.5,29.2,192.3,214.8,Inferred,YES,Forest,Carnivore,Vertivore,Insessorial
Accipiter_rhodogaster,Accipiter,Accipitridae,Accipitriformes,20.5,11.8,7.9,10.8,53.4,172.6,51.6,122.4,29.7,125.8,172.7,Dunning,NO,Forest,Carnivore,Vertivore,Insessorial
Accipiter_rufitorques,Accipiter,Accipitridae,Accipitriformes,26,15.4,10.3,13.7,59.2,217.6,73.5,142,34.1,146,209,Dunning,NO,Forest,Carnivore,Vertivore,Generalist
Accipiter_rufiventris,Accipiter,Accipitridae,Accipitriformes,20.3,10.7,7.8,10,54.2,218.6,83,134.3,38.1,165.8,198,Dunning,NO,Forest,Carnivore,Vertivore,Aerial
Accipiter_soloensis,Accipiter,Accipitridae,Accipitriformes,25.6,11.4,8.6,9.7,39.5,187.8,73.1,114.4,39,123.4,164.8,Dunning,NO,Forest,Carnivore,Vertivore,Insessorial
Accipiter_striatus,Accipiter,Accipitridae,Accipitriformes,18.3,10.1,7.3,9.4,49.9,181.6,56.6,126.8,30.7,134.3,130.6,Dunning,NO,Forest,Carnivore,Vertivore,Aerial
Accipiter_superciliosus,Accipiter,Accipitridae,Accipitriformes,19.4,10.8,6.7,10.4,37.4,146.4,38.6,105.2,26.9,104.6,96.4,Updated_literature,NO,Forest,Carnivore,Vertivore,Aerial
Accipiter_sylvestris,Accipiter,Accipitridae,Accipitriformes,26,14.9,9.2,13.1,54.5,206.4,66,140.4,32,146.9,326.1,DataFromSplit,NO,Forest,Carnivore,Vertivore,Insessorial
Accipiter_tachiro,Accipiter,Accipitridae,Accipitriformes,18,15.3,9.1,12.4,65.7,217.4,55.6,161.8,25.7,175,290.2,Updated_literature,NO,Forest,Carnivore,Vertivore,Aerial
Accipiter_toussenelii,Accipiter,Accipitridae,Accipitriformes,24.4,13.9,9.2,11.9,62.1,189,48.2,149.6,24.4,157.2,249.3,Dunning,NO,Forest,Carnivore,Vertivore,Insessorial
Accipiter_trinotatus,Accipiter,Accipitridae,Accipitriformes,20.4,13.3,8.6,11.2,48.2,162.9,43,115,27.2,128.8,146,Dunning,NO,Forest,Carnivore,Vertivore,Insessorial
Accipiter_trivirgatus,Accipiter,Accipitridae,Accipitriformes,31.7,17.3,10.5,14.1,56.9,216.2,49.6,166.1,23,171.9,265,Dunning,NO,Forest,Carnivore,Vertivore,Insessorial
Accipiter_virgatus,Accipiter,Accipitridae,Accipitriformes,21.2,11.7,7.6,10.2,49.8,167.7,46.7,123.1,27.4,123.9,117,Dunning,NO,Forest,Carnivore,Vertivore,Generalist
Aegypius_monachus,Aegypius,Accipitridae,Accipitriformes,87.8,59.9,27.9,39.8,134.2,734.2,302.2,432,41.1,371,9320.6,Dunning,NO,Forest,Scavenger,Scavenger,Terrestrial
Aquila_adalberti,Aquila,Accipitridae,Accipitriformes,61.2,39.8,21.1,31,98.4,592.5,235,357.5,39.7,297,2958,Dunning,NO,Woodland,Carnivore,Vertivore,Generalist
Aquila_africana,Aquila,Accipitridae,Accipitriformes,39.4,23.4,12.8,20.4,76.6,342.2,93.8,248.4,27.4,277.8,1047,Dunning,NO,Woodland,Carnivore,Vertivore,Generalist
Aquila_audax,Aquila,Accipitridae,Accipitriformes,60.5,40.9,19.6,31.2,104,617.7,244.5,373.2,39.6,387,3449.9,Dunning,NO,Woodland,Carnivore,Vertivore,Generalist
Aquila_chrysaetos,Aquila,Accipitridae,Accipitriformes,56.8,37,18.5,28.4,101.4,603.1,221.2,381.9,36.7,307.1,4248,Dunning,NO,Grassland,Carnivore,Vertivore,Aerial
Aquila_fasciata,Aquila,Accipitridae,Accipitriformes,45.7,28.9,16.2,23.7,93.2,486.8,181.8,305,37.3,260,1936.5,Dunning,NO,Rock,Carnivore,Vertivore,Aerial
Aquila_gurneyi,Aquila,Accipitridae,Accipitriformes,55.4,33.3,16.6,21.9,99.4,544.5,183.8,360.8,33.8,365.5,3060,Dunning,NO,Forest,Carnivore,Vertivore,Aerial
Aquila_heliaca,Aquila,Accipitridae,Accipitriformes,59,37.5,19.8,28.4,93.7,582.2,230.8,354,39.5,316.2,3125.2,Dunning,NO,Woodland,Carnivore,Vertivore,Generalist
Aquila_nipalensis,Aquila,Accipitridae,Accipitriformes,54.1,32.4,17.7,25.2,95.1,559.6,225.2,332,40.5,271.4,2714.3,Dunning,NO,Grassland,Carnivore,Vertivore,Aerial
Aquila_rapax,Aquila,Accipitridae,Accipitriformes,54,31.5,16.8,24.3,84.3,506.6,196,310,38.7,242.4,2236.1,Dunning,NO,Shrubland,Carnivore,Vertivore,Generalist
Aquila_spilogaster,Aquila,Accipitridae,Accipitriformes,44,27.5,14.4,22.6,91.1,427.6,151.2,278.8,35.2,254.8,1466.2,Dunning,NO,Grassland,Carnivore,Vertivore,Generalist
Aquila_verreauxii,Aquila,Accipitridae,Accipitriformes,58.2,35.5,18.3,27.6,117.4,590.2,200.5,389.8,34,403.5,4195,Dunning,NO,Rock,Carnivore,Vertivore,Aerial
Aviceda_cuculoides,Aviceda,Accipitridae,Accipitriformes,25.5,17.1,10.6,13.9,33,264.6,114,153.5,42.4,154.2,277,Dunning,NO,Forest,Carnivore,Vertivore,Insessorial
Aviceda_jerdoni,Aviceda,Accipitridae,Accipitriformes,45.5,21.7,12.9,15.9,34.7,302.8,76.9,222.9,25.6,211,363,Dunning,NO,Forest,Carnivore,Omnivore,Insessorial
Aviceda_leuphotes,Aviceda,Accipitridae,Accipitriformes,24.6,16.4,10.2,12.5,25,230.6,82,150.2,35.3,124,194,Dunning,NO,Forest,Carnivore,Invertivore,Insessorial
Aviceda_madagascariensis,Aviceda,Accipitridae,Accipitriformes,28.6,20.1,11.6,16.2,38.7,314.2,106,207.5,33.8,169.2,277,Inferred,YES,Forest,Carnivore,Vertivore,Insessorial
Aviceda_subcristata,Aviceda,Accipitridae,Accipitriformes,28.3,19.7,11.6,14.7,36.3,336.6,134.5,200,40.2,202,322.7,Dunning,NO,Forest,Carnivore,Omnivore,Insessorial
Busarellus_nigricollis,Busarellus,Accipitridae,Accipitriformes,40.8,27.1,12.5,17.6,76.1,393.5,105.9,283.1,27,199.8,766.1,Dunning,NO,Forest,Carnivore,Aquatic predator,Insessorial
Butastur_indicus,Butastur,Accipitridae,Accipitriformes,40.5,18.4,10.4,14.5,53.4,327.6,155.1,175.9,46.9,191.8,414.6,Dunning,NO,Woodland,Carnivore,Vertivore,Insessorial
Butastur_liventer,Butastur,Accipitridae,Accipitriformes,31.3,17,10.5,14,61.7,275,115.6,159.4,42,149,338,Dunning,NO,Woodland,Carnivore,Vertivore,Insessorial
Butastur_rufipennis,Butastur,Accipitridae,Accipitriformes,28.7,16.3,10.3,12.3,58.4,311.2,143.5,170,45.8,181.4,334.9,Dunning,NO,Woodland,Carnivore,Invertivore,Insessorial
Butastur_teesa,Butastur,Accipitridae,Accipitriformes,30.6,18,10.7,13.8,60.4,295.4,132,165,44.5,191,325,Dunning,NO,Woodland,Carnivore,Vertivore,Insessorial
Buteo_albigula,Buteo,Accipitridae,Accipitriformes,27.9,17.9,11.4,15.2,57.9,291,109.6,181.4,37.6,182.2,525,EltonTraits_Model,NO,Forest,Carnivore,Vertivore,Generalist
Buteo_albonotatus,Buteo,Accipitridae,Accipitriformes,35.1,21.1,12.7,16.9,70.4,398,159.7,236.7,40.3,217,745.9,Dunning,NO,Forest,Carnivore,Vertivore,Aerial
Buteo_augur,Buteo,Accipitridae,Accipitriformes,42.7,24.4,13.3,18.9,89.3,410.2,129.3,283.6,31.4,188.5,1099.2,Dunning,NO,Woodland,Carnivore,Vertivore,Insessorial
Buteo_auguralis,Buteo,Accipitridae,Accipitriformes,33.3,18.6,11.2,15.6,73.6,356.2,135.9,223.4,37.8,192.6,663.9,Dunning,NO,Forest,Carnivore,Vertivore,Insessorial
Buteo_brachypterus,Buteo,Accipitridae,Accipitriformes,33.6,19.7,11.5,16.4,63.1,315.4,100.1,215.2,31.7,184.4,511,Dunning,NO,Forest,Carnivore,Vertivore,Insessorial
Buteo_brachyurus,Buteo,Accipitridae,Accipitriformes,31.1,17,10.4,14.9,53.8,307.6,90,213.3,29.7,171,496,Dunning,NO,Forest,Carnivore,Vertivore,Aerial
Buteo_buteo,Buteo,Accipitridae,Accipitriformes,35.9,22.1,12.6,16.6,75.8,382.9,147.2,236.9,38.3,214.4,759.1,Dunning,NO,Grassland,Carnivore,Vertivore,Insessorial
Buteo_galapagoensis,Buteo,Accipitridae,Accipitriformes,40.9,26,13.9,19.3,77,402.6,176.8,229.2,43.6,235.2,1137.4,Dunning,NO,Woodland,Carnivore,Vertivore,Aerial
Buteo_hemilasius,Buteo,Accipitridae,Accipitriformes,40.7,23.1,14.7,18.8,80,467.2,179,290.2,38.2,251.4,1358.9,Dunning,NO,Grassland,Carnivore,Vertivore,Generalist
Buteo_jamaicensis,Buteo,Accipitridae,Accipitriformes,37.6,22.9,14.4,20.2,80.9,402.8,139.9,270.8,34.1,212.2,1101.2,Dunning,NO,Woodland,Carnivore,Vertivore,Insessorial
Buteo_japonicus,Buteo,Accipitridae,Accipitriformes,34.5,19.4,11.7,15.8,77,395,163,232,41.2,212,759.1,DataFromSplit,NO,Grassland,Carnivore,Vertivore,Insessorial
Buteo_lagopus,Buteo,Accipitridae,Accipitriformes,34.5,20.2,11.7,15.9,72.3,428.3,180.3,248.5,42.1,240,949.8,Dunning,NO,Grassland,Carnivore,Vertivore,Insessorial
Buteo_lineatus,Buteo,Accipitridae,Accipitriformes,33.1,20.3,11.8,16.3,74.1,319,106.9,212.8,33.4,172.8,603.7,Dunning,NO,Woodland,Carnivore,Vertivore,Aerial
Buteo_nitidus,Buteo,Accipitridae,Accipitriformes,30.3,18.5,11.2,15.3,64.6,247.3,71.9,189.5,27.5,170.6,519,Dunning,NO,Forest,Carnivore,Vertivore,Insessorial
Buteo_oreophilus,Buteo,Accipitridae,Accipitriformes,35.1,19.6,11.4,15.3,70.9,346,124.7,221.3,36,182.5,700,Dunning,NO,Forest,Carnivore,Vertivore,Insessorial
Buteo_plagiatus,Buteo,Accipitridae,Accipitriformes,34.1,20.9,11.4,17.2,78.7,267.9,81.6,186.3,30.5,162,519,DataFromSplit,NO,Forest,Carnivore,Vertivore,Insessorial
Buteo_platypterus,Buteo,Accipitridae,Accipitriformes,28.3,17.8,11.1,14.4,53.4,277.7,103.7,177.4,36.9,178.8,453.7,Dunning,NO,Forest,Carnivore,Vertivore,Insessorial
Buteo_refectus,Buteo,Accipitridae,Accipitriformes,33.4,20.4,11.8,16.1,64.9,346,125.7,220.3,36.3,173.3,759.1,DataFromSplit,NO,Grassland,Carnivore,Vertivore,Insessorial
Buteo_regalis,Buteo,Accipitridae,Accipitriformes,41.3,23.8,18.3,20.2,81.6,431,179.2,254.5,41.3,240.6,1437.2,Dunning,NO,Grassland,Carnivore,Vertivore,Generalist
Buteo_ridgwayi,Buteo,Accipitridae,Accipitriformes,26.5,14.9,9.8,14.2,65.8,222.5,73.9,148.6,33.4,144.2,315,Updated_literature,NO,Forest,Carnivore,Vertivore,Insessorial
Buteo_rufinus,Buteo,Accipitridae,Accipitriformes,41.6,23.5,14,19.8,86.1,447.5,180.8,266.8,40.5,244.5,1166.2,Dunning,NO,Grassland,Carnivore,Vertivore,Generalist
Buteo_rufofuscus,Buteo,Accipitridae,Accipitriformes,39.8,23.2,13.4,17.9,84.9,413.2,140.6,275.9,33.8,190.4,1530,Dunning,NO,Grassland,Carnivore,Vertivore,Generalist
Buteo_socotraensis,Buteo,Accipitridae,Accipitriformes,37.8,20.8,14.1,18,84,323,115.8,207.2,35.2,176.7,759.1,DataFromSplit,NO,Grassland,Carnivore,Vertivore,Insessorial
Buteo_solitarius,Buteo,Accipitridae,Accipitriformes,31.8,20.4,13.2,15.9,72.7,270.2,92.3,178,34.1,160.5,500.9,Dunning,NO,Forest,Carnivore,Vertivore,Insessorial
Buteo_swainsoni,Buteo,Accipitridae,Accipitriformes,35.3,21,13.6,16.6,60.7,383.7,175.2,201.8,46.6,193.6,946.6,Dunning,NO,Grassland,Carnivore,Vertivore,Insessorial
Buteo_trizonatus,Buteo,Accipitridae,Accipitriformes,34,18,11.4,15.1,67.6,345.8,131.5,214.2,37.9,184,568,Updated_literature,NO,Forest,Carnivore,Vertivore,Insessorial
Buteo_ventralis,Buteo,Accipitridae,Accipitriformes,37.2,23.2,13,19,76.8,359,118.4,240.6,33,221.5,1190.5,Dunning,NO,Forest,Carnivore,Vertivore,Insessorial
Buteogallus_aequinoctialis,Buteogallus,Accipitridae,Accipitriformes,36.1,23.3,11.2,16,73.3,316.2,78.8,237.5,24.9,147.2,657.6,Dunning,NO,Woodland,Carnivore,Aquatic predator,Insessorial
Buteogallus_anthracinus,Buteogallus,Accipitridae,Accipitriformes,39.6,25.1,12.9,17.5,78.6,355.2,106,239.5,30.7,206.2,975.1,Dunning,NO,Woodland,Carnivore,Aquatic predator,Insessorial
Buteogallus_coronatus,Buteogallus,Accipitridae,Accipitriformes,60.9,39.9,15.8,29.7,119.4,533,177.5,361.2,33,262.2,2950,Dunning,NO,Shrubland,Carnivore,Vertivore,Insessorial
Buteogallus_gundlachii,Buteogallus,Accipitridae,Accipitriformes,39.6,24.4,12.3,17.3,85.2,348.1,112.6,235.6,32.4,190,975.1,Dunning,NO,Woodland,Carnivore,Omnivore,Insessorial
Buteogallus_lacernulatus,Buteogallus,Accipitridae,Accipitriformes,34.8,21.5,11.7,15.5,77.2,293.8,87,207.2,29.6,157,312,Inferred,YES,Forest,Carnivore,Vertivore,Insessorial
Buteogallus_meridionalis,Buteogallus,Accipitridae,Accipitriformes,36,24.2,11.6,18.1,93.4,416.4,130.9,287.4,31.1,217.4,808,Dunning,NO,Grassland,Carnivore,Vertivore,Insessorial
Buteogallus_schistaceus,Buteogallus,Accipitridae,Accipitriformes,35.5,22.6,12.6,18.1,75.7,272,70,204.5,25.5,173.2,1000,Dunning,NO,Forest,Carnivore,Vertivore,Insessorial
Buteogallus_solitarius,Buteogallus,Accipitridae,Accipitriformes,58.6,36.8,18.7,28,120.4,526.2,150.6,370.9,28.9,245.3,3000,Dunning,NO,Forest,Carnivore,Vertivore,Insessorial
Buteogallus_urubitinga,Buteogallus,Accipitridae,Accipitriformes,46,29.2,14.6,21.9,118.4,399.7,87.3,309.4,22,255.6,1152.9,Dunning,NO,Woodland,Carnivore,Vertivore,Insessorial
Chelictinia_riocourii,Chelictinia,Accipitridae,Accipitriformes,17.7,11.6,8.6,9.1,28.2,240.2,136.2,108.5,55.7,192,110,Dunning,NO,Shrubland,Carnivore,Invertivore,Aerial
Chondrohierax_uncinatus,Chondrohierax,Accipitridae,Accipitriformes,36.2,27,12.4,18.4,33.6,285.3,59.8,224.2,21,197.6,286.1,Dunning,NO,Forest,Carnivore,Invertivore,Insessorial
Chondrohierax_wilsonii,Chondrohierax,Accipitridae,Accipitriformes,38.4,30.4,11.8,20.6,23,244,63.5,180.5,26,185,286.1,Dunning,NO,Forest,Carnivore,Invertivore,Insessorial
Circaetus_beaudouini,Circaetus,Accipitridae,Accipitriformes,45.6,33.5,15.1,22.7,79.3,501.8,216.8,280.5,43.5,259.6,1500,Inferred,YES,Woodland,Carnivore,Vertivore,Insessorial
Circaetus_cinerascens,Circaetus,Accipitridae,Accipitriformes,42.2,29,13.5,21.7,68.1,379.5,115.2,264.2,30.4,220.5,1126,Updated_literature,NO,Forest,Carnivore,Vertivore,Insessorial
Circaetus_cinereus,Circaetus,Accipitridae,Accipitriformes,54.7,40.6,15.8,28.6,94.3,517.8,222,295.2,42.9,254,2048,Dunning,NO,Shrubland,Carnivore,Vertivore,Insessorial
Circaetus_fasciolatus,Circaetus,Accipitridae,Accipitriformes,39.8,27.7,13.9,23,71.7,362.2,101.5,260.8,28,227,1013.6,Dunning,NO,Woodland,Carnivore,Vertivore,Insessorial
Circaetus_gallicus,Circaetus,Accipitridae,Accipitriformes,47,35,15.5,24.6,90.9,537,216.8,320.2,40.5,280.4,1699.1,Dunning,NO,Woodland,Carnivore,Vertivore,Aerial
Circaetus_pectoralis,Circaetus,Accipitridae,Accipitriformes,46.7,33.8,14.6,23.1,83.8,527.8,229,303.5,43,259.4,1500,Dunning,NO,Woodland,Carnivore,Vertivore,Generalist
Circus_aeruginosus,Circus,Accipitridae,Accipitriformes,37.3,20.2,11.9,16.2,79.3,405.7,185.3,221.2,45.6,233.9,704.1,Dunning,NO,Wetland,Carnivore,Vertivore,Aerial
Circus_approximans,Circus,Accipitridae,Accipitriformes,39.5,21.9,11.9,16.4,89.3,406.9,181.9,225,44.7,233.2,746.2,Dunning,NO,Wetland,Carnivore,Vertivore,Aerial
Circus_assimilis,Circus,Accipitridae,Accipitriformes,36.1,20.2,11.2,16.2,95.2,421.6,191.6,234,45,271.1,558.6,Dunning,NO,Grassland,Carnivore,Vertivore,Aerial
Circus_buffoni,Circus,Accipitridae,Accipitriformes,41.4,20.9,12.7,16.6,85.3,436,210,226,48.2,265,507.4,Dunning,NO,Grassland,Carnivore,Vertivore,Aerial
Circus_cinereus,Circus,Accipitridae,Accipitriformes,29.8,15.7,9.3,12.9,67.5,344.5,154.5,194.7,44.3,240.4,399.7,Dunning,NO,Grassland,Carnivore,Vertivore,Aerial
Circus_cyaneus,Circus,Accipitridae,Accipitriformes,30.1,16,9.7,13,72.1,352.4,158.9,197.1,44.7,131.7,393,Dunning,NO,Grassland,Carnivore,Vertivore,Aerial
Circus_hudsonius,Circus,Accipitridae,Accipitriformes,31.1,17.2,10.1,13.2,82,360.9,161.1,199.8,44.6,212.9,393,DataFromSplit,NO,Grassland,Carnivore,Vertivore,Aerial
Circus_macrosceles,Circus,Accipitridae,Accipitriformes,37.4,20.8,11.6,16.1,92.2,420.9,201.7,220.8,47.8,242.7,663.6,Dunning,NO,Grassland,Carnivore,Vertivore,Aerial
Circus_macrourus,Circus,Accipitridae,Accipitriformes,29.5,15,9.7,12.7,68,351.2,185,168.4,52.4,226.6,384.4,Dunning,NO,Grassland,Carnivore,Vertivore,Aerial
Circus_maillardi,Circus,Accipitridae,Accipitriformes,37.4,19.9,11.1,16.6,83.5,353.2,144,214.8,40.2,229,663.6,Dunning,NO,Forest,Carnivore,Vertivore,Aerial
Circus_maurus,Circus,Accipitridae,Accipitriformes,31.7,17,10.6,13.5,71.9,352.4,151.2,203.5,42.6,249.2,509,Dunning,NO,Shrubland,Carnivore,Vertivore,Aerial
Circus_melanoleucos,Circus,Accipitridae,Accipitriformes,29.9,15.5,9.4,13.1,72.5,352.6,179.8,176.5,50.5,214,336.3,Dunning,NO,Grassland,Carnivore,Vertivore,Aerial
Circus_pygargus,Circus,Accipitridae,Accipitriformes,26.1,13.5,8.6,11.2,62,362.3,188,173.3,52,224.8,310.8,Dunning,NO,Grassland,Carnivore,Vertivore,Aerial
Circus_ranivorus,Circus,Accipitridae,Accipitriformes,35.4,18.9,11.1,14.1,84.5,363.2,163.2,207.5,44,226.8,507,Dunning,NO,Wetland,Carnivore,Vertivore,Aerial
Circus_spilonotus,Circus,Accipitridae,Accipitriformes,38.3,20,12.1,15.9,86.3,407.2,194.2,213,47.7,241.2,558.8,Dunning,NO,Wetland,Carnivore,Vertivore,Aerial
Circus_spilothorax,Circus,Accipitridae,Accipitriformes,35.3,20.9,11.9,14.4,89.1,377.4,133,244.4,35.4,215.6,558.8,DataFromSplit,NO,Wetland,Carnivore,Vertivore,Aerial
Clanga_clanga,Clanga,Accipitridae,Accipitriformes,50.2,31.2,15.6,23.2,96.8,510.6,192.2,314.8,37.9,261.4,2154.3,Dunning,NO,Wetland,Carnivore,Vertivore,Generalist
Clanga_hastata,Clanga,Accipitridae,Accipitriformes,44.4,26.4,14,18.9,90.2,456.5,191.8,264.8,42,208.5,1359.4,Dunning,NO,Woodland,Carnivore,Vertivore,Generalist
Clanga_pomarina,Clanga,Accipitridae,Accipitriformes,47.3,26.9,13.4,19.5,91.6,459.3,184.8,271,40.6,213,1359.4,Dunning,NO,Forest,Carnivore,Vertivore,Generalist
Cryptoleucopteryx_plumbea,Cryptoleucopteryx,Accipitridae,Accipitriformes,32.1,21,11.2,16.7,58.9,238,74.2,164.8,31,145.4,482,Dunning,NO,Forest,Carnivore,Vertivore,Insessorial
