species_old,species,Genus,Family,Order,Jetz_Order,Jetz_Family,Jetz_Genus,Beak.Length_Culmen,Beak.Length_Nares,Beak.Width,Beak.Depth,Tarsus.Length,Wing.Length,Kipps.Distance,Tail.Length,Mass,ExtinctionType,ExtinctionPeriod,IslandEndemic,Isl_group_map,LAT,LON,Isl_group_map2,LAT2,LON2,Isl_group_map3,LAT3,LON3
Porphyrio sp./Mangaia,Porphyrio_sp./Mangaia,Porphyrio,Rallidae,Gruiformes,GRUIFORMES,Rallidae,Porphyrio,23.3,13.99,5.05,8.93,36.9,110.85,29.27,49.13,83.34,EP,EP,Yes,Cook Islands,-20.219417,-158.905882,NA,NA,NA,NA,NA,NA
Porphyrio sp./NewIreland,Porphyrio_sp./NewIreland,Porphyrio,Rallidae,Gruiformes,GRUIFORMES,Rallidae,Porphyrio,42.09,25.54,8.68,16.44,63.93,198.23,47.93,88.08,506,EP,EP,Yes,Bismarck Archipelago,-5.6367,151.116865,NA,NA,NA,NA,NA,NA
Porphyrio sp./Norfolk,Porphyrio_sp./Norfolk,Porphyrio,Rallidae,Gruiformes,GRUIFORMES,Rallidae,Porphyrio,42.9,26.2,8.85,16.79,65.16,202.56,48.65,89.59,773.88,EP,EP,Yes,Norfolk Island,-29.037746,167.958311,NA,NA,NA,NA,NA,NA
Porphyrio sp./Rota,Porphyrio_sp./Rota,Porphyrio,Rallidae,Gruiformes,GRUIFORMES,Rallidae,Porphyrio,32.71,19.77,6.9,12.67,50.46,154.69,38.9,68.81,235.1,EP,EP,Yes,Mariana Islands,15.99253,145.811136,NA,NA,NA,NA,NA,NA
Porphyrio sp./Tinian,Porphyrio_sp./Tinian,Porphyrio,Rallidae,Gruiformes,GRUIFORMES,Rallidae,Porphyrio,51.34,31.19,10.37,20.11,76.46,238.53,56.27,106.51,1000,EP,EP,Yes,Mariana Islands,15.99253,145.811136,NA,NA,NA,NA,NA,NA
Porzana sp./Caicos,Porzana_sp./Caicos,Porzana,Rallidae,Gruiformes,GRUIFORMES,Rallidae,Porzana,22.8,12.56,3.64,6.11,32.4,109.68,24.13,47.9,74.8,EP,EP,Yes,"Bahamas, Turks and Caicos",23.358701,-75.150565,NA,NA,NA,NA,NA,NA
Porzana sp./LongIsland,Porzana_sp./LongIsland,Porzana,Rallidae,Gruiformes,GRUIFORMES,Rallidae,Porzana,22.58,12.44,3.6,6.05,32.13,108.54,23.86,47.42,74.8,EPU,EP,Yes,"Bahamas, Turks and Caicos",23.358701,-75.150565,NA,NA,NA,NA,NA,NA
Procellariidae sp./EasterIsland,Procellariidae_sp./EasterIsland,Procellariidae sp.,Procellariidae,Procellariiformes,PROCELLARIIFORMES,Procellariidae,NA,39.16,24.38,8.84,10.19,39.92,243.25,137.55,94.81,350.8,EP,EP,Yes,Easter Island,-27.098473,-109.357475,NA,NA,NA,NA,NA,NA
Prosobonia cancellata,Prosobonia_cancellata,Prosobonia,Scolopacidae,Charadriiformes,CHARADRIIFORMES,Scolopacidae,Prosobonia,20.27,12.5,3.05,3.45,24.32,106.5,33.95,57.8,45.5,EH,EH,Yes,Line Islands,1.691923,-157.306187,NA,NA,NA,NA,NA,NA
Prosobonia ellisi,Prosobonia_ellisi,Prosobonia,Scolopacidae,Charadriiformes,CHARADRIIFORMES,Scolopacidae,Prosobonia,21.52,12.88,2.42,3.41,23.62,92.28,38.5,50.76,36,EH,EH,Yes,Society Islands,-17.208191,-151.278983,NA,NA,NA,NA,NA,NA
Prosobonia leucoptera,Prosobonia_leucoptera,Prosobonia,Scolopacidae,Charadriiformes,CHARADRIIFORMES,Scolopacidae,Prosobonia,20,12.28,2.24,3.11,29,112,42.35,54,30.91,EH,EH,Yes,Society Islands,-17.208191,-151.278983,NA,NA,NA,NA,NA,NA
Prosobonia sauli,Prosobonia_sauli,Prosobonia,Scolopacidae,Charadriiformes,CHARADRIIFORMES,Scolopacidae,Prosobonia,26.46,15.81,2.9,4.3,29.24,113.07,44.58,58.97,67.94,EP,EP,Yes,Pitcairn Islands,-24.367163,-128.327394,NA,NA,NA,NA,NA,NA
Prosobonia sp./Mangaia,Prosobonia_sp./Mangaia,Prosobonia,Scolopacidae,Charadriiformes,CHARADRIIFORMES,Scolopacidae,Prosobonia,21.68,12.98,2.43,3.43,23.76,92.98,38.74,51.02,36,EP,EP,Yes,Cook Islands,-20.219417,-158.905882,NA,NA,NA,NA,NA,NA
Psephotellus pulcherrimus,Psephotellus_pulcherrimus,Psephotellus,Psittacidae,Psittaciformes,PSITTACIFORMES,Psittacidae,Psephotus,15.85,12.1,9.2,13.6,16.35,124,37.75,166,57.19,EH,EH,No,continental_Australasia,-24.306003,133.573578,NA,NA,NA,NA,NA,NA
Pseudobulweria sp./Gambier,Pseudobulweria_sp./Gambier,Pseudobulweria,Procellariidae,Procellariiformes,PROCELLARIIFORMES,Procellariidae,Pseudobulweria,29.83,18.37,7.53,8.42,31.57,195.03,132.83,74.01,143.42,EP,EP,Yes,Gambier Islands,-22.430041,-135.43067,NA,NA,NA,NA,NA,NA
Pseudoseisuropsis cuelloi,Pseudoseisuropsis_cuelloi,Pseudoseisuropsis,Furnariidae,Passeriformes,PASSERIFORMES,Furnariidae,Extinct,22.84,15.13,4.57,5.48,22.95,85.93,13.91,78.72,32.3,EP,EP,No,continental_Neotropical,-12.193695,-58.142315,NA,NA,NA,NA,NA,NA
Psilopterus sp./Uruguay,Psilopterus_sp./Uruguay,Psilopterus,Phorusrhacidae,Cariamiformes,CARIAMIFORMES,Extinct,Extinct,84.99,50.55,16.39,25,137.85,398.76,45.79,331.14,3675.49,EPU,EP,No,continental_Neotropical,-12.193695,-58.142315,NA,NA,NA,NA,NA,NA
Psittacara labati,Psittacara_labati,Psittacara,Psittacidae,Psittaciformes,PSITTACIFORMES,Psittacidae,Aratinga,26.09,22.4,14.25,25.73,15.4,156.11,67.18,125.27,87,EH,EH,Yes,Windward and Leeward Islands,14.603884,-61.00752,NA,NA,NA,NA,NA,NA
Psittacidae sp./EasterIsland1,Psittacidae_sp./EasterIsland1,Psittacidae,Psittacidae,Psittaciformes,PSITTACIFORMES,Psittacidae,NA,24.59,19.17,11.77,19.56,17.4,153.02,59.49,106.09,112.65,EP,EP,Yes,Easter Island,-27.098473,-109.357475,NA,NA,NA,NA,NA,NA
Psittacidae sp./EasterIsland2,Psittacidae_sp./EasterIsland2,Psittacidae,Psittacidae,Psittaciformes,PSITTACIFORMES,Psittacidae,NA,24.54,19.15,11.77,19.53,17.34,152.79,59.69,105.88,112.65,EP,EP,Yes,Easter Island,-27.098473,-109.357475,NA,NA,NA,NA,NA,NA
Psittacidae sp./Reunion,Psittacidae_sp./Reunion,Psittacidae sp.,Psittacidae,Psittaciformes,PSITTACIFORMES,Psittacidae,NA,29.48,23.06,13.96,23.61,20.64,180.96,68.14,126.22,214,EH,EH,Yes,Mascarene Islands,-20.143514,59.622511,NA,NA,NA,NA,NA,NA
Psittacidae sp./Rota,Psittacidae_sp./Rota,Psittacidae sp.,Psittacidae,Psittaciformes,PSITTACIFORMES,Psittacidae,NA,30.26,23.68,14.3,24.28,21.06,185.64,69.91,129.3,235,EP,EP,Yes,Mariana Islands,15.99253,145.811136,NA,NA,NA,NA,NA,NA
Psittacula exsul,Psittacula_exsul,Psittacula,Psittacidae,Psittaciformes,PSITTACIFORMES,Psittacidae,Psittacula,34.04,28.09,16.12,28.8,22,208,90.91,194.5,221.69,EH,EH,Yes,Mascarene Islands,-20.143514,59.622511,NA,NA,NA,NA,NA,NA
Psittacula wardi,Psittacula_wardi,Psittacula,Psittacidae,Psittaciformes,PSITTACIFORMES,Psittacidae,Psittacula,35.23,29.36,19.03,31.57,19,173.75,105.17,186.5,223.63,EH,EH,Yes,Inner Seychelles,-4.509035,55.617584,NA,NA,NA,NA,NA,NA
Ptaiochen pau,Ptaiochen_pau,Patiochen,Anatidae,Anseriformes,ANSERIFORMES,Anatidae,Extinct,72.43,47.34,23.43,22.26,74.94,386.07,84.97,171.8,5237.6,EP,EP,Yes,Hawaiian Islands,22.453145,-161.146893,NA,NA,NA,NA,NA,NA
Pterodroma imberi,Pterodroma_imberi,Pterodroma,Procellariidae,Procellariiformes,PROCELLARIIFORMES,Procellariidae,Pterodroma,38.55,23.48,9.25,10.84,37.84,278.18,181.92,117.62,374.37,EP,EP,Yes,New Zealand Outlying Islands (East),-47.757303,179.03928,NA,NA,NA,NA,NA,NA
Pterodroma jugabilis,Pterodroma_jugabilis,Pterodroma,Procellariidae,Procellariiformes,PROCELLARIIFORMES,Procellariidae,Pterodroma,27.97,17.2,7,7.77,26.84,200.71,155.08,78.33,146.41,EP,EP,Yes,Hawaiian Islands,22.453145,-161.146893,NA,NA,NA,NA,NA,NA
Pterodroma rupinarum,Pterodroma_rupinarum,Pterodroma,Procellariidae,Procellariiformes,PROCELLARIIFORMES,Procellariidae,Pterodroma,34.95,21.49,8.63,9.93,34.18,247.62,173.38,102.6,294.76,EH,EH,Yes,Saint Helena,-15.963769,-5.707724,NA,NA,NA,NA,NA,NA
Pterodroma sp./Hierro,Pterodroma_sp./Hierro,Pterodroma,Procellariidae,Procellariiformes,PROCELLARIIFORMES,Procellariidae,Pterodroma,34.52,21.06,8.5,9.79,33.73,242.66,170.07,101.1,282.59,EP,EP,Yes,Canary Islands,28.004018,-15.596451,NA,NA,NA,NA,NA,NA
Pterodroma sp./Rodrigues,Pterodroma_sp./Rodrigues,Pterodroma,Procellariidae,Procellariiformes,PROCELLARIIFORMES,Procellariidae,Pterodroma,42.62,25.91,10,11.88,42.8,307.76,191.83,126.95,469.84,EH,EH,Yes,Mascarene Islands,-20.143514,59.622511,NA,NA,NA,NA,NA,NA
Ptilinopus mercierii,Ptilinopus_mercierii,Ptilinopus,Columbidae,Columbiformes,COLUMBIFORMES,Columbidae,Ptilinopus,16.92,6.7,4.05,4.31,22.05,132.75,38.25,74.25,110.18,EH,EH,Yes,Marquesas,-9.555453,-139.438929,NA,NA,NA,NA,NA,NA
Ptilinopus sp./Mangavera,Ptilinopus_sp./Mangavera,Ptilinopus,Columbidae,Columbiformes,COLUMBIFORMES,Columbidae,Ptilinopus,18.63,8.64,4.28,4.36,23.37,133.46,38.44,75.13,124.34,EH,EH,Yes,Gambier Islands,-22.430041,-135.43067,NA,NA,NA,NA,NA,NA
Ptilinopus sp./Tubuai,Ptilinopus_sp./Tubuai,Ptilinopus,Columbidae,Columbiformes,COLUMBIFORMES,Columbidae,Ptilinopus,19.89,9.24,4.53,4.66,24.87,142.62,40.94,80.28,168,EP,EP,Yes,Austral Islands,-23.013194,-150.247724,NA,NA,NA,NA,NA,NA
Puffinus holeae,Puffinus_holeae,Puffinus,Procellariidae,Procellariiformes,PROCELLARIIFORMES,Procellariidae,Puffinus,56.58,35.64,8.69,9.24,47.17,244.1,134.07,80.57,377.89,EP,EP,Yes,Canary Islands,28.004018,-15.596451,NA,NA,NA,NA,NA,NA
Puffinus olsoni,Puffinus_olsoni,Puffinus,Procellariidae,Procellariiformes,PROCELLARIIFORMES,Procellariidae,Puffinus,38.96,23.4,6.12,7.15,40.73,207.16,110.49,59.66,210,EP,EP,Yes,Canary Islands,28.004018,-15.596451,NA,NA,NA,NA,NA,NA
Puffinus pacificoides,Puffinus_pacificoides,Puffinus,Procellariidae,Procellariiformes,PROCELLARIIFORMES,Procellariidae,Puffinus,40.23,24.42,6.56,7.48,40.27,205,114.04,73.34,273.65,EPU,EP,Yes,Saint Helena,-15.963769,-5.707724,NA,NA,NA,NA,NA,NA
Puffinus spelaeus,Puffinus_spelaeus,Puffinus,Procellariidae,Procellariiformes,PROCELLARIIFORMES,Procellariidae,Puffinus,39.44,23.87,6.38,7.06,37.73,197.08,119.78,68.96,250,EP,EP,Yes,New Zealand,-41.437598,174.075856,NA,NA,NA,NA,NA,NA
Pulsatrix arredondoi,Pulsatrix_arredondoi,Pulsatrix,Strigidae,Strigiformes,STRIGIFORMES,Strigidae,Pulsatrix,37.41,21.94,11.28,19.48,46.28,290.35,84.09,179.55,409.19,EP,EP,Yes,"Cuba, Jamaica and Cayman Islands",19.936934,-78.983243,NA,NA,NA,NA,NA,NA
Pycnoptilus fordi,Pycnoptilus_fordi,Pycnoptilus,Acanthizidae,Passeriformes,PASSERIFORMES,Acanthizidae,Pycnoptilus,15.52,8.06,3.38,3.9,26.51,73.11,8.88,66.42,24.82,EP,EP,No,continental_Australasia,-24.306003,133.573578,NA,NA,NA,NA,NA,NA
Pyelorhamphus molothroides,Pyelorhamphus_molothroides,Pyelorhamphus,Icteridae,Passeriformes,PASSERIFORMES,Icteridae,Extinct,25.08,16.53,5.99,8.23,29.06,112.32,22.94,89.44,56,EP,EP,No,continental_Nearctic,49.060652,-103.045295,NA,NA,NA,NA,NA,NA
Pyrocephalus dubius,Pyrocephalus_dubius,Pyrocephalus,Tyrannidae,Passeriformes,PASSERIFORMES,Tyrannidae,Pyrocephalus,9.65,6.52,4.17,3.24,16.51,56.64,12.95,48.26,9.69,EH,EH,Yes,Galapagos Islands,-0.203778,-90.41951,NA,NA,NA,NA,NA,NA
Pyrrhula crassa,Pyrrhula_crassa,Pyrrhula,Fringillidae,Passeriformes,PASSERIFORMES,Fringillidae,Pyrrhula,16.54,10.78,8.87,10.28,21.86,97.73,18.54,87.97,46.4,EP,EP,Yes,Azores,38.436955,-28.2947,NA,NA,NA,NA,NA,NA
Quiscalus palustris,Quiscalus_palustris,Quiscalus,Icteridae,Passeriformes,PASSERIFORMES,Icteridae,Quiscalus,37.44,24.86,6.36,9.16,41.4,154.25,43.14,162.38,110.05,EH,EH,No,continental_Nearctic,49.060652,-103.045295,NA,NA,NA,NA,NA,NA
Rallidae sp./EasterIsland,Rallidae_sp./EasterIsland,Rallidae,Rallidae,Gruiformes,GRUIFORMES,Rallidae,NA,32.47,18.08,4.59,7.92,43.41,130.66,22.2,54.06,171,EP,EP,Yes,Easter Island,-27.098473,-109.357475,NA,NA,NA,NA,NA,NA
Rallus adolfocaesaris,Rallus_adolfocaesaris,Rallus,Rallidae,Gruiformes,GRUIFORMES,Rallidae,Rallus,40.1,24.62,3.64,6.57,34.94,114.12,24.4,43.75,142.98,EP,EP,Yes,Madeira,32.764014,-16.932176,NA,NA,NA,NA,NA,NA
Rallus carvaoensis,Rallus_carvaoensis,Rallus,Rallidae,Gruiformes,GRUIFORMES,Rallidae,Rallus,38.13,23.16,3.45,6.32,32.69,110.98,23.3,40.46,124.71,EP,EP,Yes,Azores,38.436955,-28.2947,NA,NA,NA,NA,NA,NA
Rallus cyanocavi,Rallus_cyanocavi,Rallus,Rallidae,Gruiformes,GRUIFORMES,Rallidae,Rallus,44.73,27.33,4.03,7.39,38.72,129.96,27.64,48.58,189.27,EPU,EP,Yes,"Bahamas, Turks and Caicos",23.358701,-75.150565,NA,NA,NA,NA,NA,NA
