species,Order,Family,Genus,Jetz_Order,Jetz_Family,Jetz_Genus,Beak.Length_Culmen,Beak.Length_Nares,Beak.Width,Beak.Depth,Tarsus.Length,Wing.Length,Kipps.Distance,Tail.Length,Mass,ExtinctionType,ExtinctionPeriod,ExtinctionPeriodMap,IslandEndemic,Isl_group_map,LAT,LON,Isl_group_map2,LAT2,LON2,Isl_group_map3,LAT3,LON3
Vorombe_titan,Aepyornithiformes,Aepyornithidae,Vorombe,Extinct,Extinct,Extinct,170.24,69.42,48.45,51.74,436.14,469.27,14.14,186.78,642900,EX_A,EX_Other,EX_Other,Yes,Madagascar,-18.745556,46.914274,NA,NA,NA,NA,NA,NA
Wingegyps_cartellei,Cathartiformes,Cathartidae,Wingegyps,ACCIPITRIFORMES,Cathartidae,Extinct,57.77,32.19,15.65,17.99,75.33,407.4,117.06,220.27,2064.05,EX_A,EX_Other,EX_Other,No,continental_Neotropical,-12.193695,-58.142315,NA,NA,NA,NA,NA,NA
Xenicibis_xympithecus,Pelecaniformes,Threskiornithidae,Xenicibis,PELECANIFORMES,Threskiornithidae,Extinct,156.81,117.45,14.92,20.67,95.2,336.48,92.07,170.46,1675.81,EX_U,EX_Other,EX_Other,Yes,"Cuba, Jamaica and Cayman Islands",19.936934,-78.983243,NA,NA,NA,NA,NA,NA
Xenicus_longipes,Passeriformes,Acanthisittidae,Xenicus,PASSERIFORMES,Acanthisittidae,Xenicus,15.53,8.05,3.1,2.88,25.73,56.38,5.82,24.5,16,EX_IUCN,EX_IUCN,EX_IUCN,Yes,New Zealand,-41.437598,174.075856,NA,NA,NA,NA,NA,NA
Xenorhynchopsis_minor,Phoenicopteriformes,Phoenicopteridae,Xenorhynchopsis,PHOENICOPTERIFORMES,Phoenicopteridae,Extinct,95.83,70.98,19.1,27.77,161.34,353.29,129,139.19,1640.57,EX_U,EX_Other,EX_Other,No,continental_Australasia,-24.306003,133.573578,NA,NA,NA,NA,NA,NA
Xenorhynchopsis_tibialis,Phoenicopteriformes,Phoenicopteridae,Xenorhynchopsis,PHOENICOPTERIFORMES,Phoenicopteridae,Extinct,110.16,81.66,21.87,32.4,188.5,402.83,138.41,162.97,2492.3,EX_U,EX_Other,EX_Other,No,continental_Australasia,-24.306003,133.573578,NA,NA,NA,NA,NA,NA
Xestospiza_conica,Passeriformes,Fringillidae,Xestospiza,PASSERIFORMES,Fringillidae,Extinct,17.44,11.73,6.21,7.75,21.07,82.01,18.71,58.84,27.11,EX_A,EX_Other,EX_Other,Yes,Hawaiian Islands,22.453145,-161.146893,NA,NA,NA,NA,NA,NA
Xestospiza_fastiglialis,Passeriformes,Fringillidae,Xestospiza,PASSERIFORMES,Fringillidae,Extinct,16.2,10.75,5.91,7.42,20.7,79.11,18.16,56.73,25.07,EX_A,EX_Other,EX_Other,Yes,Hawaiian Islands,22.453145,-161.146893,NA,NA,NA,NA,NA,NA
Zapornia_astrictocarpus,Gruiformes,Rallidae,Zapornia,GRUIFORMES,Rallidae,Porzana,20.43,11.65,2.94,5.53,28.23,84.79,20.22,35.09,55.69,EX_IUCN,EX_IUCN,EX_IUCN,Yes,Saint Helena,-15.963769,-5.707724,NA,NA,NA,NA,NA,NA
Zapornia_keplerorum,Gruiformes,Rallidae,Zapornia,GRUIFORMES,Rallidae,Porzana,17.88,10.17,2.6,4.86,23.72,73.4,17.14,31.07,37.68,EX_A,EX_Other,EX_Other,Yes,Hawaiian Islands,22.453145,-161.146893,NA,NA,NA,NA,NA,NA
