species,species_BirdLife,Extant,ExtinctionPeriod,ExtinctionType,IslandEndemic,IUCN,GenLength,IslandEndemic2
Megalapteryx_didinus,Megalapteryx_didinus,Extinct,EX_Other,EX_A,Yes,EX,NA,Yes
Euryapteryx_curtus,Euryapteryx_curtus,Extinct,EX_Other,EX_A,Yes,EX,NA,Yes
Emeus_crassus,Emeus_crassus,Extinct,EX_Other,EX_A,Yes,EX,NA,Yes
Anomalopteryx_didiformis,Anomalopteryx_didiformis,Extinct,EX_Other,EX_A,Yes,EX,NA,Yes
Pachyornis_geranoides,Pachyornis_geranoides,Extinct,EX_Other,EX_A,Yes,EX,NA,Yes
Pachyornis_elephantopus,Pachyornis_elephantopus,Extinct,EX_Other,EX_A,Yes,EX,NA,Yes
Pachyornis_australis,Pachyornis_australis,Extinct,EX_Other,EX_A,Yes,EX,NA,Yes
Dinornis_novaezealandiae,Dinornis_novaezealandiae,Extinct,EX_Other,EX_A,Yes,EX,NA,Yes
Dinornis_robustus,Dinornis_robustus,Extinct,EX_Other,EX_A,Yes,EX,NA,Yes
Eudromia_formosa,Eudromia_formosa,Extant,Current,Current,No,LC,5.153,No
Eudromia_elegans,Eudromia_elegans,Extant,Current,Current,No,LC,4.965,No
Tinamotis_ingoufi,Tinamotis_ingoufi,Extant,Current,Current,No,LC,2.938,No
Tinamotis_pentlandii,Tinamotis_pentlandii,Extant,Current,Current,No,LC,4.653,No
Nothoprocta_perdicaria,Nothoprocta_perdicaria,Extant,Current,Current,No,LC,4.148,No
Nothoprocta_cinerascens,Nothoprocta_cinerascens,Extant,Current,Current,No,LC,2.783,No
Nothoprocta_pentlandii,Nothoprocta_pentlandii,Extant,Current,Current,No,LC,3.166,No
Nothoprocta_taczanowskii,Nothoprocta_taczanowskii,Extant,Current,Current,No,VU,5.628,No
Nothoprocta_ornata,Nothoprocta_ornata,Extant,Current,Current,No,LC,4.336,No
Nothoprocta_curvirostris,Nothoprocta_curvirostris,Extant,Current,Current,No,LC,5.414,No
Taoniscus_nanus,Taoniscus_nanus,Extant,Current,Current,No,EN,3.388,No
Rhynchotus_rufescens,Rhynchotus_rufescens,Extant,Current,Current,No,LC,6.778,No
Rhynchotus_maculicollis,Rhynchotus_maculicollis,Extant,Current,Current,No,LC,6.351,No
Nothura_maculosa,Nothura_maculosa,Extant,Current,Current,No,LC,3.222,No
Nothura_boraquira,Nothura_boraquira,Extant,Current,Current,No,LC,3.52,No
Nothura_darwinii,Nothura_darwinii,Extant,Current,Current,No,LC,3.196,No
Nothura_chacoensis,Nothura_maculosa,Extant,Current,Current,No,LC,3.222,No
Nothura_minor,Nothura_minor,Extant,Current,Current,No,VU,3.084,No
Crypturellus_soui,Crypturellus_soui,Extant,Current,Current,No,LC,5.081,No
Crypturellus_variegatus,Crypturellus_variegatus,Extant,Current,Current,No,LC,6.478,No
Crypturellus_cinereus,Crypturellus_cinereus,Extant,Current,Current,No,LC,6.164,No
Crypturellus_duidae,Crypturellus_duidae,Extant,Current,Current,No,LC,5.573,No
Crypturellus_undulatus,Crypturellus_undulatus,Extant,Current,Current,No,LC,4.771,No
Crypturellus_casiquiare,Crypturellus_casiquiare,Extant,Current,Current,No,LC,5.537,No
Crypturellus_kerriae,Crypturellus_kerriae,Extant,Current,Current,No,VU,5.464,No
Crypturellus_strigulosus,Crypturellus_strigulosus,Extant,Current,Current,No,LC,5.052,No
Crypturellus_atrocapillus,Crypturellus_atrocapillus,Extant,Current,Current,No,LC,5.566,No
Crypturellus_bartletti,Crypturellus_bartletti,Extant,Current,Current,No,LC,4.863,No
Crypturellus_brevirostris,Crypturellus_brevirostris,Extant,Current,Current,No,LC,5.529,No
Crypturellus_cinnamomeus,Multiple,Extant,Current,Current,No,LC,6.9385,No
Crypturellus_boucardi,Crypturellus_boucardi,Extant,Current,Current,No,LC,4.796,No
Crypturellus_tataupa,Crypturellus_tataupa,Extant,Current,Current,No,LC,4.051,No
Crypturellus_ptaritepui,Crypturellus_ptaritepui,Extant,Current,Current,No,LC,5.481,No
Crypturellus_berlepschi,Crypturellus_berlepschi,Extant,Current,Current,No,LC,5.856,No
Crypturellus_transfasciatus,Crypturellus_transfasciatus,Extant,Current,Current,No,NT,4.579,No
Crypturellus_obsoletus,Crypturellus_obsoletus,Extant,Current,Current,No,LC,4.813,No
Crypturellus_erythropus,Crypturellus_erythropus,Extant,Current,Current,No,LC,5.828,No
Crypturellus_parvirostris,Crypturellus_parvirostris,Extant,Current,Current,No,LC,3.871,No
Crypturellus_noctivagus,Crypturellus_noctivagus,Extant,Current,Current,No,NT,4.925,No
Nothocercus_bonapartei,Nothocercus_bonapartei,Extant,Current,Current,No,LC,4.539,No
Nothocercus_nigrocapillus,Nothocercus_nigrocapillus,Extant,Current,Current,No,LC,4.834,No
Nothocercus_julius,Nothocercus_julius,Extant,Current,Current,No,LC,6.165,No
Tinamus_solitarius,Tinamus_solitarius,Extant,Current,Current,No,NT,4.142,No
Tinamus_tao,Tinamus_tao,Extant,Current,Current,No,VU,5.785,No
Tinamus_osgoodi,Tinamus_osgoodi,Extant,Current,Current,No,VU,8.159,No
Tinamus_major,Tinamus_major,Extant,Current,Current,No,LC,5.839,No
Tinamus_guttatus,Tinamus_guttatus,Extant,Current,Current,No,NT,4.684,No
Struthio_camelus,Multiple,Extant,Current,Current,No,LC,14.5285,No
Struthio_anderssoni,Struthio_anderssoni,Extinct,EX_Other,EX_A,No,EX,NA,No
Dromaius_novaehollandiae,Multiple,Extant,Current,Current,No,LC,7.5285,No
Dromaius_baudinianus,Dromaius_baudinianus,Extinct,EX_IUCN,EX_IUCN,No,EX,NA,No
Dromaius_minor,Dromaius_minor,Extinct,EX_IUCN,EX_IUCN,No,EX,NA,No
Casuarius_unappendiculatus,Casuarius_unappendiculatus,Extant,Current,Current,No,LC,12.722,No
Casuarius_casuarius,Casuarius_casuarius,Extant,Current,Current,No,LC,12.144,No
Casuarius_bennetti,Casuarius_bennetti,Extant,Current,Current,No,LC,11.554,No
Casuarius_lydekkeri,Casuarius_lydekkeri,Extinct,EX_Other,EX_A,No,EX,NA,No
Mullerornis_modestus,Mullerornis_modestus,Extinct,EX_Other,EX_A,Yes,EX,NA,Yes
Aepyornis_hildebrandti,Aepyornis_hildebrandti,Extinct,EX_Other,EX_A,Yes,EX,NA,Yes
Aepyornis_maximus,Aepyornis_maximus,Extinct,EX_Other,EX_A,Yes,EX,NA,Yes
Apteryx_mantelli,Apteryx_mantelli,Extant,Current,Current,Yes,VU,8.502,Yes
Apteryx_australis,Multiple,Extant,Current,Current,Yes,VU,9.831,Yes
Apteryx_haastii,Apteryx_haastii,Extant,Current,Current,Yes,VU,9.254,Yes
Apteryx_owenii,Apteryx_owenii,Extant,Current,Current,Yes,NT,8.83,Yes
Rhea_pennata,Multiple,Extant,Current,Current,No,LC,11.482,No
Rhea_americana,Rhea_americana,Extant,Current,Current,No,NT,11.357,No
Chauna_torquata,Chauna_torquata,Extant,Current,Current,No,LC,8.298,No
Chauna_chavaria,Chauna_chavaria,Extant,Current,Current,No,NT,6.792,No
Anhima_cornuta,Anhima_cornuta,Extant,Current,Current,No,LC,7.596,No
Anseranas_semipalmata,Anseranas_semipalmata,Extant,Current,Current,No,LC,8.144,No
Dendrocygna_javanica,Dendrocygna_javanica,Extant,Current,Current,No,LC,3.32,No
Dendrocygna_bicolor,Dendrocygna_bicolor,Extant,Current,Current,No,LC,2.62,No
Dendrocygna_eytoni,Dendrocygna_eytoni,Extant,Current,Current,No,LC,2.947,No
Dendrocygna_viduata,Dendrocygna_viduata,Extant,Current,Current,No,LC,3.15,No
Dendrocygna_guttata,Dendrocygna_guttata,Extant,Current,Current,No,LC,2.835,No
Dendrocygna_autumnalis,Dendrocygna_autumnalis,Extant,Current,Current,No,LC,2.362,No
Dendrocygna_arborea,Dendrocygna_arborea,Extant,Current,Current,Yes,NT,4.458,Yes
Dendrocygna_arcuata,Dendrocygna_arcuata,Extant,Current,Current,No,LC,3.216,No
Dendrocygna_sp_Aitutaki,Dendrocygna_sp_Aitutaki,Extinct,EX_Other,EX_A,Yes,EX,NA,Yes
Thalassornis_leuconotus,Thalassornis_leuconotus,Extant,Current,Current,No,LC,4.225,No
Cygnus_columbianus,Cygnus_columbianus,Extant,Current,Current,No,LC,11.995,No
Cygnus_cygnus,Cygnus_cygnus,Extant,Current,Current,No,LC,9.666,No
Cygnus_falconeri,Cygnus_falconeri,Extinct,EX_Other,EX_U,No,EX,NA,No
Cygnus_equitum,Cygnus_equitum,Extinct,EX_Other,EX_U,No,EX,NA,No
Cygnus_buccinator,Cygnus_buccinator,Extant,Current,Current,No,LC,9.307,No
Cygnus_olor,Cygnus_olor,Extant,Current,Current,No,LC,9.8,No
Cygnus_atratus,Cygnus_atratus,Extant,Current,Current,No,LC,10.431,No
Cygnus_sumnerensis,Cygnus_sumnerensis,Extinct,EX_Other,EX_A,Yes,EX,NA,Yes
Cygnus_melancoryphus,Cygnus_melancoryphus,Extant,Current,Current,No,LC,7.551,No
Chen_canagica,Anser_canagicus,Extant,Current,Current,No,NT,8.008,No
Chen_caerulescens,Anser_caerulescens,Extant,Current,Current,No,LC,8.764,No
Chen_rossii,Anser_rossii,Extant,Current,Current,No,LC,6.251,No
Anser_indicus,Anser_indicus,Extant,Current,Current,No,LC,6.046,No
Anser_cygnoides,Anser_cygnoid,Extant,Current,Current,No,VU,9.428,No
Anser_erythropus,Anser_erythropus,Extant,Current,Current,No,VU,7.604,No
Anser_sp_Eivissa,Anser_sp_Eivissa,Extinct,EX_Other,EX_A,Yes,EX,NA,Yes
Anser_anser,Anser_anser,Extant,Current,Current,No,LC,7.926,No
Anser_brachyrhynchus,Anser_brachyrhynchus,Extant,Current,Current,No,LC,11.672,No
Anser_fabalis,Anser_fabalis,Extant,Current,Current,No,LC,8.328,No
Anser_djuktaiensis,Anser_djuktaiensis,Extinct,EX_Other,EX_U,No,EX,NA,No
Anser_albifrons,Anser_albifrons,Extant,Current,Current,No,LC,8.4,No
Branta_bernicla,Branta_bernicla,Extant,Current,Current,No,LC,9.909,No
Branta_hutchinsii,Branta_hutchinsii,Extant,Current,Current,No,LC,9.217,No
Branta_dickeyi,Branta_dickeyi,Extinct,EX_Other,EX_U,No,EX,NA,No
Branta_leucopsis,Branta_leucopsis,Extant,Current,Current,No,LC,10.046,No
Branta_canadensis,Branta_canadensis,Extant,Current,Current,No,LC,9.449,No
Branta_sandvicensis,Branta_sandvicensis,Extant,Current,Current,Yes,NT,12.091,Yes
Branta_rhuax,Branta_rhuax,Extinct,EX_Other,EX_A,Yes,EX,NA,Yes
Branta_hylobadistes,Branta_hylobadistes,Extinct,EX_Other,EX_A,Yes,EX,NA,Yes
Branta_ruficollis,Branta_ruficollis,Extant,Current,Current,No,VU,7.257,No
Cereopsis_novaehollandiae,Cereopsis_novaehollandiae,Extant,Current,Current,No,LC,9.159,No
Cnemiornis_calcitrans,Cnemiornis_calcitrans,Extinct,EX_Other,EX_A,Yes,EX,NA,Yes
Cnemiornis_gracillis,Cnemiornis_gracillis,Extinct,EX_Other,EX_A,Yes,EX,NA,Yes
Coscoroba_coscoroba,Coscoroba_coscoroba,Extant,Current,Current,No,LC,7.799,No
Malacorhynchus_membranaceus,Malacorhynchus_membranaceus,Extant,Current,Current,No,LC,4.004,No
Malacorhynchus_scarletti,Malacorhynchus_scarletti,Extinct,EX_Other,EX_A,Yes,EX,NA,Yes
Anas_formosa,Sibirionetta_formosa,Extant,Current,Current,No,LC,3.545,No
Anas_eatoni,Anas_eatoni,Extant,Current,Current,Yes,VU,3.991,Yes
Anas_puna,Spatula_puna,Extant,Current,Current,No,LC,3.498,No
Anas_andium,Anas_andium,Extant,Current,Current,No,LC,2.818,No
Anas_versicolor,Spatula_versicolor,Extant,Current,Current,No,LC,3.699,No
Anas_querquedula,Spatula_querquedula,Extant,Current,Current,No,LC,3.665,No
Anas_sp_StPaul,Anas_sp_StPaul,Extinct,EX_Other,EX_A,Yes,EX,NA,Yes
Anas_discors,Spatula_discors,Extant,Current,Current,No,LC,3.938,No
Anas_itchtucknee,Anas_itchtucknee,Extinct,EX_Other,EX_A,No,EX,NA,No
Anas_cyanoptera,Spatula_cyanoptera,Extant,Current,Current,No,LC,2.914,No
Anas_schneideri,Anas_schneideri,Extinct,EX_Other,EX_A,No,EX,NA,No
Anas_talarae,Anas_talarae,Extinct,EX_Other,EX_A,No,EX,NA,No
Anas_smithii,Spatula_smithii,Extant,Current,Current,No,LC,3.464,No
Anas_rhynchotis,Spatula_rhynchotis,Extant,Current,Current,No,LC,3.254,No
Anas_clypeata,Spatula_clypeata,Extant,Current,Current,No,LC,4.096,No
Anas_platalea,Spatula_platalea,Extant,Current,Current,No,LC,4.231,No
Anas_hottentota,Spatula_hottentota,Extant,Current,Current,No,LC,3.054,No
Anas_flavirostris,Anas_flavirostris,Extant,Current,Current,No,LC,3.677,No
Anas_wyvilliana,Anas_wyvilliana,Extant,Current,Current,Yes,EN,4.698,Yes
Anas_crecca,Multiple,Extant,Current,Current,No,LC,3.878,No
Anas_amotape,Anas_amotape,Extinct,EX_Other,EX_A,No,EX,NA,No
Anas_sanctahelenae,Anas_sanctahelenae,Extinct,EX_Other,EX_A,No,EX,NA,No
Anas_undulata,Anas_undulata,Extant,Current,Current,No,LC,4.087,No
Anas_superciliosa,Anas_superciliosa,Extant,Current,Current,No,LC,4.943,No
Anas_melleri,Anas_melleri,Extant,Current,Current,Yes,EN,3.882,Yes
Anas_fulvigula,Anas_fulvigula,Extant,Current,Current,No,LC,4.552,No
Anas_rubripes,Anas_rubripes,Extant,Current,Current,No,LC,4.821,No
Anas_luzonica,Anas_luzonica,Extant,Current,Current,No,VU,3.391,No
Anas_poecilorhyncha,Multiple,Extant,Current,Current,No,LC,3.9035,No
Anas_platyrhynchos,Anas_platyrhynchos,Extant,Current,Current,No,LC,4.781,No
Anas_laysanensis,Anas_laysanensis,Extant,Current,Current,Yes,CR,4.255,Yes
Anas_sparsa,Anas_sparsa,Extant,Current,Current,No,LC,5.452,No
Anas_capensis,Anas_capensis,Extant,Current,Current,No,LC,3.276,No
Anas_erythrorhyncha,Anas_erythrorhyncha,Extant,Current,Current,No,LC,3.221,No
Anas_georgica,Anas_georgica,Extant,Current,Current,No,LC,4.214,No
Anatidae_sp_Rodrigues,Anatidae_sp_Rodrigues,Extinct,EX_Other,EX_A,Yes,EX,NA,Yes
Anas_acuta,Anas_acuta,Extant,Current,Current,No,LC,4.948,No
Anas_bahamensis,Anas_bahamensis,Extant,Current,Current,No,LC,3.551,No
Anas_castanea,Anas_castanea,Extant,Current,Current,No,LC,3.814,No
Anas_sp_VitiLevu,Anas_sp_VitiLevu,Extinct,EX_Other,EX_A,Yes,EX,NA,Yes
Anas_gracilis,Anas_gracilis,Extant,Current,Current,No,LC,5.582,No
Anas_bernieri,Anas_bernieri,Extant,Current,Current,Yes,EN,3.877,Yes
Anas_theodori,Anas_theodori,Extinct,EX_IUCN,EX_IUCN,Yes,EX,NA,Yes
Anas_aucklandica,Anas_aucklandica,Extant,Current,Current,Yes,NT,3.879,Yes
Anas_nesiotis,Anas_nesiotis,Extant,Current,Current,Yes,VU,3.879,Yes
Anas_chlorotis,Anas_chlorotis,Extant,Current,Current,Yes,NT,5.028,Yes
Anas_chathamica,Anas_chathamica,Extinct,EX_Other,EX_A,Yes,EX,NA,Yes
Anas_strepera,Mareca_strepera,Extant,Current,Current,No,LC,3.673,No
Anas_falcata,Mareca_falcata,Extant,Current,Current,No,NT,3.782,No
Anas_sibilatrix,Mareca_sibilatrix,Extant,Current,Current,No,LC,3.751,No
Anas_americana,Mareca_americana,Extant,Current,Current,No,LC,3.893,No
Anas_penelope,Mareca_penelope,Extant,Current,Current,No,LC,3.789,No
Anas_marecula,Anas_marecula,Extinct,EX_IUCN,EX_IUCN,Yes,EX,NA,Yes
Anas_gibberifrons,Multiple,Extant,Current,Current,No,NT,3.6255,No
Lophonetta_specularioides,Lophonetta_specularioides,Extant,Current,Current,No,LC,5.082,No
Nannonetta_invisitata,Nannonetta_invisitata,Extinct,EX_Other,EX_A,No,EX,NA,No
Tachyeres_patachonicus,Tachyeres_patachonicus,Extant,Current,Current,No,LC,5.755,No
Tachyeres_leucocephalus,Tachyeres_leucocephalus,Extant,Current,Current,No,VU,7.998,No
Tachyeres_pteneres,Tachyeres_pteneres,Extant,Current,Current,No,LC,7.029,No
Tachyeres_brachypterus,Tachyeres_brachypterus,Extant,Current,Current,Yes,LC,5.946,Yes
Amazonetta_brasiliensis,Amazonetta_brasiliensis,Extant,Current,Current,No,LC,3.88,No
Speculanas_specularis,Speculanas_specularis,Extant,Current,Current,No,NT,6.108,No
Chendytes_lawi,Chendytes_lawi,Extinct,EX_Other,EX_A,No,EX,NA,No
Thambetochen_chauliodous,Thambetochen_chauliodous,Extinct,EX_Other,EX_A,Yes,EX,NA,Yes
Thambetochen_xanion,Thambetochen_xanion,Extinct,EX_Other,EX_A,Yes,EX,NA,Yes
Ptaiochen_pau,Ptaiochen_pau,Extinct,EX_Other,EX_A,Yes,EX,NA,Yes
Chelychelynechen_quassus,Chelychelynechen_quassus,Extinct,EX_Other,EX_A,Yes,EX,NA,Yes
Anatidae_sp_Rota,Anatidae_sp_Rota,Extinct,EX_Other,EX_A,Yes,EX,NA,Yes
Salvadorina_waigiuensis,Salvadorina_waigiuensis,Extant,Current,Current,No,LC,4.813,No
Pteronetta_hartlaubii,Pteronetta_hartlaubii,Extant,Current,Current,No,LC,2.711,No
Cyanochen_cyanoptera,Cyanochen_cyanoptera,Extant,Current,Current,No,VU,5.305,No
Aythya_collaris,Aythya_collaris,Extant,Current,Current,No,LC,3.76,No
Aythya_americana,Aythya_americana,Extant,Current,Current,No,LC,4.195,No
Aythya_ferina,Aythya_ferina,Extant,Current,Current,No,VU,4.228,No
Aythya_valisineria,Aythya_valisineria,Extant,Current,Current,No,LC,5.162,No
Aythya_novaeseelandiae,Aythya_novaeseelandiae,Extant,Current,Current,Yes,LC,5.753,Yes
Aythya_baeri,Aythya_baeri,Extant,Current,Current,No,CR,3.535,No
Aythya_marila,Aythya_marila,Extant,Current,Current,No,LC,4.148,No
Anatidae_sp_Oahu,Anatidae_sp_Oahu,Extinct,EX_Other,EX_A,Yes,EX,NA,Yes
Aythya_innotata,Aythya_innotata,Extant,Current,Current,Yes,CR,3.748,Yes
Aythya_sp_Reunion,Aythya_sp_Reunion,Extinct,EX_Other,EX_A,Yes,EX,NA,Yes
Aythya_affinis,Aythya_affinis,Extant,Current,Current,No,LC,5.024,No
Aythya_fuligula,Aythya_fuligula,Extant,Current,Current,No,LC,4.012,No
Aythya_australis,Aythya_australis,Extant,Current,Current,No,LC,3.49,No
Aythya_nyroca,Aythya_nyroca,Extant,Current,Current,No,NT,3.514,No
Netta_erythrophthalma,Netta_erythrophthalma,Extant,Current,Current,No,LC,2.073,No
Netta_peposaca,Netta_peposaca,Extant,Current,Current,No,LC,2.218,No
Netta_rufina,Netta_rufina,Extant,Current,Current,No,LC,2.498,No
Cairina_scutulata,Asarcornis_scutulata,Extant,Current,Current,No,EN,4.817,No
Marmaronetta_angustirostris,Marmaronetta_angustirostris,Extant,Current,Current,No,VU,2.941,No
Alopochen_aegyptiaca,Alopochen_aegyptiaca,Extant,Current,Current,No,LC,6.553,No
Alopochen_sirabensis,Alopochen_sirabensis,Extinct,EX_Other,EX_A,Yes,EX,NA,Yes
Alopochen_mauritiana,Alopochen_mauritiana,Extinct,EX_IUCN,EX_IUCN,Yes,EX,NA,Yes
Alopochen_kervazoi,Alopochen_kervazoi,Extinct,EX_IUCN,EX_IUCN,Yes,EX,NA,Yes
Tadorna_radjah,Radjah_radjah,Extant,Current,Current,No,LC,3.996,No
Tadorna_sp_Kauai,Tadorna_sp_Kauai,Extinct,EX_Other,EX_U,Yes,EX,NA,Yes
Tadorna_cana,Tadorna_cana,Extant,Current,Current,No,LC,4.007,No
Tadorna_tadornoides,Tadorna_tadornoides,Extant,Current,Current,No,LC,4.96,No
Tadorna_ferruginea,Tadorna_ferruginea,Extant,Current,Current,No,LC,4.588,No
Tadorna_variegata,Tadorna_variegata,Extant,Current,Current,Yes,LC,5.093,Yes
Tadorna_sp_Chatham,Tadorna_sp_Chatham,Extinct,EX_Other,EX_A,Yes,EX,NA,Yes
Tadorna_tadorna,Tadorna_tadorna,Extant,Current,Current,No,LC,8.132,No
Centrornis_majori,Centrornis_majori,Extinct,EX_Other,EX_A,Yes,EX,NA,Yes
Anabernicula_gracilenta,Anabernicula_gracilenta,Extinct,EX_Other,EX_A,No,EX,NA,No
Anabernicula_oregonensis,Anabernicula_oregonensis,Extinct,EX_Other,EX_A,No,EX,NA,No
Chloephaga_hybrida,Chloephaga_hybrida,Extant,Current,Current,No,LC,8.355,No
Chloephaga_rubidiceps,Chloephaga_rubidiceps,Extant,Current,Current,No,LC,6.025,No
Chloephaga_poliocephala,Chloephaga_poliocephala,Extant,Current,Current,No,LC,8.1,No
Chloephaga_picta,Chloephaga_picta,Extant,Current,Current,No,LC,6.308,No
Chloephaga_melanoptera,Chloephaga_melanoptera,Extant,Current,Current,No,LC,5.196,No
Neochen_jubata,Neochen_jubata,Extant,Current,Current,No,NT,4.389,No
Neochen_barbadiana,Neochen_barbadiana,Extinct,EX_Other,EX_U,Yes,EX,NA,Yes
Neochen_pugil,Neochen_pugil,Extinct,EX_Other,EX_A,No,EX,NA,No
Cairina_moschata,Cairina_moschata,Extant,Current,Current,No,LC,3.935,No
Aix_galericulata,Aix_galericulata,Extant,Current,Current,No,LC,3.036,No
Aix_sponsa,Aix_sponsa,Extant,Current,Current,No,LC,4.056,No
Clangula_hyemalis,Clangula_hyemalis,Extant,Current,Current,No,VU,6.006,No
Polysticta_stelleri,Polysticta_stelleri,Extant,Current,Current,No,VU,7.72,No
Camptorhynchus_labradorius,Camptorhynchus_labradorius,Extinct,EX_IUCN,EX_IUCN,No,EX,NA,No
Somateria_spectabilis,Somateria_spectabilis,Extant,Current,Current,No,LC,11.365,No
Somateria_mollissima,Somateria_mollissima,Extant,Current,Current,No,NT,11.219,No
Somateria_fischeri,Somateria_fischeri,Extant,Current,Current,No,NT,8.325,No
Histrionicus_histrionicus,Histrionicus_histrionicus,Extant,Current,Current,No,LC,6.149,No
Mergellus_albellus,Mergellus_albellus,Extant,Current,Current,No,LC,4.155,No
Mergellus_mochanovi,Mergellus_mochanovi,Extinct,EX_Other,EX_U,No,EX,NA,No
Mergus_octosetaceus,Mergus_octosetaceus,Extant,Current,Current,No,CR,4.562,No
Mergus_serrator,Mergus_serrator,Extant,Current,Current,No,LC,5.73,No
Mergus_australis,Mergus_australis,Extinct,EX_IUCN,EX_IUCN,Yes,EX,NA,Yes
Mergus_merganser,Mergus_merganser,Extant,Current,Current,No,LC,5.051,No
Mergus_squamatus,Mergus_squamatus,Extant,Current,Current,No,EN,4.319,No
Lophodytes_cucullatus,Lophodytes_cucullatus,Extant,Current,Current,No,LC,4.514,No
Bucephala_clangula,Bucephala_clangula,Extant,Current,Current,No,LC,7.11,No
Bucephala_islandica,Bucephala_islandica,Extant,Current,Current,No,LC,6.602,No
Bucephala_albeola,Bucephala_albeola,Extant,Current,Current,No,LC,5.492,No
Melanitta_fusca,Multiple,Extant,Current,Current,No,LC,5.438,No
Melanitta_perspicillata,Melanitta_perspicillata,Extant,Current,Current,No,LC,5.514,No
Melanitta_nigra,Multiple,Extant,Current,Current,No,LC,5.3405,No
Merganetta_armata,Merganetta_armata,Extant,Current,Current,No,LC,5.206,No
Talpanas_lippa,Talpanas_lippa,Extinct,EX_Other,EX_A,Yes,EX,NA,Yes
Callonetta_leucophrys,Callonetta_leucophrys,Extant,Current,Current,No,LC,2.707,No
Hymenolaimus_malacorhynchos,Hymenolaimus_malacorhynchos,Extant,Current,Current,Yes,EN,4.902,Yes
Sarkidiornis_melanotos,Multiple,Extant,Current,Current,No,LC,2.668,No
Chenonetta_jubata,Chenonetta_jubata,Extant,Current,Current,No,LC,3.267,No
Chenonetta_finschi,Chenonetta_finschi,Extinct,EX_IUCN,EX_IUCN,Yes,EX,NA,Yes
Biziura_lobata,Biziura_lobata,Extant,Current,Current,No,LC,9.259,No
Biziura_delautouri,Biziura_delautouri,Extinct,EX_Other,EX_A,Yes,EX,NA,Yes
Heteronetta_atricapilla,Heteronetta_atricapilla,Extant,Current,Current,No,LC,5.92,No
Stictonetta_naevosa,Stictonetta_naevosa,Extant,Current,Current,No,LC,5.126,No
Oxyura_maccoa,Oxyura_maccoa,Extant,Current,Current,No,EN,4.454,No
Oxyura_leucocephala,Oxyura_leucocephala,Extant,Current,Current,No,EN,4.605,No
Oxyura_jamaicensis,Multiple,Extant,Current,Current,No,LC,3.5915,No
Oxyura_australis,Oxyura_australis,Extant,Current,Current,No,NT,4.877,No
Oxyura_vantetsi,Oxyura_vantetsi,Extinct,EX_Other,EX_A,Yes,EX,NA,Yes
Oxyura_vittata,Oxyura_vittata,Extant,Current,Current,No,LC,5.184,No
Plectropterus_gambensis,Plectropterus_gambensis,Extant,Current,Current,No,LC,4.26,No
Nomonyx_dominicus,Nomonyx_dominicus,Extant,Current,Current,No,LC,4.328,No
Nettapus_pulchellus,Nettapus_pulchellus,Extant,Current,Current,No,LC,2.768,No
Nettapus_coromandelianus,Nettapus_coromandelianus,Extant,Current,Current,No,LC,2.49,No
Nettapus_auritus,Nettapus_auritus,Extant,Current,Current,No,LC,2.515,No
Genyornis_newtoni,Genyornis_newtoni,Extinct,EX_Other,EX_A,No,EX,NA,No
Sylviornis_neocaledoniae,Sylviornis_neocaledoniae,Extinct,EX_Other,EX_A,Yes,EX,NA,Yes
Megavitiornis_altirostris,Megavitiornis_altirostris,Extinct,EX_Other,EX_A,Yes,EX,NA,Yes
Aepypodius_bruijnii,Aepypodius_bruijnii,Extant,Current,Current,No,EN,4.644,No
Aepypodius_arfakianus,Aepypodius_arfakianus,Extant,Current,Current,No,LC,1.753,No
Alectura_lathami,Alectura_lathami,Extant,Current,Current,No,LC,6.457,No
Mwalau_walterlinii,Mwalau_walterlinii,Extinct,EX_Other,EX_A,Yes,EX,NA,Yes
Talegalla_jobiensis,Talegalla_jobiensis,Extant,Current,Current,No,LC,7.185,No
Talegalla_cuvieri,Talegalla_cuvieri,Extant,Current,Current,No,LC,7.413,No
Talegalla_fuscirostris,Talegalla_fuscirostris,Extant,Current,Current,No,LC,7.173,No
Leipoa_ocellata,Leipoa_ocellata,Extant,Current,Current,No,VU,9.399,No
Macrocephalon_maleo,Macrocephalon_maleo,Extant,Current,Current,Yes,CR,9.597,Yes
Megapodius_tenimberensis,Megapodius_tenimberensis,Extant,Current,Current,Yes,VU,4.528,Yes
Megapodius_molistructor,Megapodius_molistructor,Extinct,EX_Other,EX_A,Yes,EX,NA,Yes
Megapodius_nicobariensis,Megapodius_nicobariensis,Extant,Current,Current,Yes,VU,4.896,Yes
Megapodius_cumingii,Megapodius_cumingii,Extant,Current,Current,No,LC,5.855,No
Megapodius_sp_NewIreland,Megapodius_sp_NewIreland,Extinct,EX_Other,EX_A,Yes,EX,NA,Yes
Megapodius_amissus,Megapodius_amissus,Extinct,EX_Other,EX_A,Yes,EX,NA,Yes
Megapodius_bernsteinii,Megapodius_bernsteinii,Extant,Current,Current,Yes,VU,7.447,Yes
Megapodius_alimentum,Megapodius_alimentum,Extinct,EX_Other,EX_A,Yes,EX,NA,Yes
Megapodius_sp_Buka,Megapodius_sp_Buka,Extinct,EX_Other,EX_A,Yes,EX,NA,Yes
Megapodius_laperouse,Megapodius_laperouse,Extant,Current,Current,Yes,NT,4.744,Yes
Megapodius_pritchardii,Megapodius_pritchardii,Extant,Current,Current,Yes,VU,4.601,Yes
