species,species_BirdLife,Extant,ExtinctionPeriod,ExtinctionType,IslandEndemic,IUCN,GenLength,IslandEndemic2
Asio_flammeus,Asio_flammeus,Extant,Current,Current,No,LC,3.982,No
Asio_ecuadoriensis,Asio_ecuadoriensis,Extinct,EX_Other,EX_U,No,EX,NA,No
Asio_priscus,Asio_priscus,Extinct,EX_Other,EX_A,No,EX,NA,No
Asio_capensis,Asio_capensis,Extant,Current,Current,No,LC,6.005,No
Asio_stygius,Asio_stygius,Extant,Current,Current,No,LC,6.562,No
Asio_madagascariensis,Asio_madagascariensis,Extant,Current,Current,Yes,LC,4.576,Yes
Megascops_seductus,Megascops_seductus,Extant,Current,Current,No,LC,3.258,No
Megascops_kennicottii,Megascops_kennicottii,Extant,Current,Current,No,LC,3.559,No
Megascops_asio,Megascops_asio,Extant,Current,Current,No,LC,3.933,No
Megascops_guatemalae,Multiple,Extant,Current,Current,No,LC,3.397,No
Megascops_barbarus,Megascops_barbarus,Extant,Current,Current,No,LC,2.476,No
Megascops_roboratus,Megascops_roboratus,Extant,Current,Current,No,LC,3.185,No
Megascops_clarkii,Megascops_clarkii,Extant,Current,Current,No,LC,3.312,No
Megascops_ingens,Megascops_ingens,Extant,Current,Current,No,LC,3.358,No
Megascops_marshalli,Megascops_marshalli,Extant,Current,Current,No,NT,2.929,No
Megascops_watsonii,Megascops_watsonii,Extant,Current,Current,No,LC,3.197,No
Megascops_atricapilla,Megascops_atricapilla,Extant,Current,Current,No,LC,2.968,No
Megascops_sanctaecatarinae,Megascops_sanctaecatarinae,Extant,Current,Current,No,LC,3.393,No
Megascops_nudipes,Megascops_nudipes,Extant,Current,Current,Yes,LC,3.711,Yes
Megascops_petersoni,Megascops_petersoni,Extant,Current,Current,No,LC,3.028,No
Megascops_cooperi,Megascops_cooperi,Extant,Current,Current,No,LC,2.946,No
Megascops_hoyi,Megascops_hoyi,Extant,Current,Current,No,LC,2.923,No
Megascops_albogularis,Megascops_albogularis,Extant,Current,Current,No,LC,3.143,No
Megascops_choliba,Multiple,Extant,Current,Current,No,LC,3.422,No
Megascops_koepckeae,Megascops_koepckeae,Extant,Current,Current,No,LC,3.056,No
Megascops_trichopsis,Megascops_trichopsis,Extant,Current,Current,No,LC,2.805,No
Megascops_colombianus,Megascops_colombianus,Extant,Current,Current,No,NT,3.421,No
Otus_flammeolus,Psiloscops_flammeolus,Extant,Current,Current,No,LC,2.989,No
Otus_alfredi,Otus_alfredi,Extant,Current,Current,Yes,EN,2.505,Yes
Otus_brookii,Otus_brookii,Extant,Current,Current,No,LC,2.905,No
Otus_angelinae,Otus_angelinae,Extant,Current,Current,No,VU,2.614,No
Gymnoglaux_lawrencii,Margarobyas_lawrencii,Extant,Current,Current,Yes,LC,4.358,Yes
Bubo_philippensis,Bubo_philippensis,Extant,Current,Current,Yes,VU,7.189,Yes
Bubo_scandiaca,Bubo_scandiacus,Extant,Current,Current,No,VU,8.1,No
Bubo_virginianus,Bubo_virginianus,Extant,Current,Current,No,LC,7.58,No
Bubo_osvaldoi,Bubo_osvaldoi,Extinct,EX_Other,EX_U,Yes,EX,NA,Yes
Bubo_coromandus,Bubo_coromandus,Extant,Current,Current,No,LC,7.225,No
Bubo_magellanicus,Bubo_magellanicus,Extant,Current,Current,No,LC,6.872,No
Scotopelia_bouvieri,Scotopelia_bouvieri,Extant,Current,Current,No,LC,6.806,No
Scotopelia_ussheri,Scotopelia_ussheri,Extant,Current,Current,No,VU,5.982,No
Scotopelia_peli,Scotopelia_peli,Extant,Current,Current,No,LC,10.077,No
Bubo_africanus,Bubo_africanus,Extant,Current,Current,No,LC,5.694,No
Bubo_bengalensis,Bubo_bengalensis,Extant,Current,Current,No,LC,10.849,No
Bubo_capensis,Bubo_capensis,Extant,Current,Current,No,LC,6.893,No
